0		195		25		59
0		295		34		57
0		490		29		57
4		98		33		57
5		98		32		57
20		392		37		57
20		393		37		55
27		198		25		56
27		198		25		56
29		1		34		58
30		2		33		57
53		490		37		59
53		491		37		58
56		393		32		57
56		393		33		57
58		295		34		58
59		197		37		58
59		197		37		59
59		295		34		58
62		99		35		59
62		99		35		59
66		2		32		57
66		2		33		58
88		492		37		57
88		492		37		57
94		198		35		59
94		296		33		58
94		296		34		56
95		198		34		59
95		393		33		57
95		393		34		57
96		100		36		58
96		100		36		58
98		3		35		57
98		3		35		57
124		394		37		58
124		492		35		58
124		492		35		59
128		297		35		58
132		100		35		59
132		100		35		59
134		3		34		57
134		3		34		58
134		198		34		59
135		198		32		59
138		105		21		50
138		105		23		50
157		395		32		73
160		492		34		60
160		492		34		60
163		198		37		59
163		199		37		58
163		298		34		57
164		297		33		58
166		101		36		59
166		102		36		58
169		3		35		58
170		3		34		59
193		298		34		70
194		395		36		59
199		492		33		60
199		492		34		60
201		200		35		58
202		102		34		58
202		103		35		57
203		3		36		60
228		493		37		60
229		493		35		59
234		298		28		59
235		102		36		60
250		395		39		75
258		201		39		59
260		482		71		80
264		5		27		58
264		5		27		58
265		295		40		64
265		295		40		64
271		103		33		59
271		103		38		58
289		196		40		66
290		196		39		66
295		387		32		62
296		6		37		59
296		6		37		59
298		480		55		60
300		300		38		62
308		102		37		61
311		102		35		61
328		198		37		69
333		6		34		59
333		6		34		60
335		286		65		82
339		100		36		65
340		100		36		65
358		392		46		65
362		203		38		61
362		203		42		70
368		7		34		59
368		8		34		58
370		500		30		60
376		104		35		61
393		203		41		60
393		203		41		60
403		10		28		56
420		490		40		70
428		302		68		74
428		399		37		61
428		400		37		60
433		205		35		58
433		205		35		58
437		9		34		58
437		9		34		59
437		108		27		57
464		401		39		62
464		402		38		59
466		495		30		70
469		206		27		57
470		206		26		57
471		9		34		60
472		9		34		60
472		108		33		58
472		108		33		58
498		401		35		60
498		401		35		64
500		304		36		59
500		304		36		59
502		206		35		59
502		206		35		59
506		108		34		59
506		108		34		60
514		11		29		57
514		11		30		57
530		500		39		61
532		403		35		58
532		403		36		58
537		208		33		52
537		208		35		59
539		11		36		58
539		11		36		58
539		109		34		59
539		110		35		57
539		304		36		59
540		305		34		58
560		526		21		50
